Date,,Tournament Type,Opposing Deck,Opponent,G1,G2,G3,MW: 99-21 (82.5%),gw,gl,mw,ml,w,l
2/8,1,League,Pox,SoldierofFortune88,W,W,,2-0,2,0,1,0,0,0
,2,League,Burn,MahfuzVanGogh,W,W,,2-0,2,0,1,0,1,0
,3,League,Elves,SchulzCubed,W,W,,2-0,2,0,1,0,2,0
,4,League,UR Delver,P4UM,L,L,,0-2,0,2,0,1,3,0
,5,League,BR Reanimator,SHAKELION,W,L,L,1-2,1,2,0,1,3,1
2/8,6,League,BUG Delver,b_garbs,W,L,W,2-1,2,1,1,0,0,0
,7,League,Ninjas,umeck,W,W,,2-0,2,0,1,0,1,0
,8,League,High Tide,SchulzCubed,L,W,W,2-1,2,1,1,0,2,0
,9,League,RUG Delver,Gretorp,W,L,L,1-2,1,2,0,1,3,0
,10,League,Sneak & Show,JoeyBads,W,W,,2-0,2,0,1,0,3,1
2/9,11,League,4c Miracles,FZA,W,W,,2-0,2,0,1,0,0,0
,12,League,TES,Zeb1ngt0n,L,W,W,2-1,2,1,1,0,1,0
,13,League,Elves,yakaldir,W,W,,2-0,2,0,1,0,2,0
,14,League,Grixis Delver,Souze6,W,L,W,2-1,2,1,1,0,3,0
,15,League,UR Delver,WatlerTheGOAT,W,W,,2-0,2,0,1,0,4,0
2/10,16,League,Humans,HmNicklas,W,W,,2-0,2,0,1,0,0,0
,17,League,BUG Delver,ryanmyers,L,L,,0-2,0,2,0,1,1,0
,18,League,Breach,XAD,L,W,L,1-2,1,2,0,1,1,1
,19,League,UR Delver,tjfreire08,W,W,,2-0,2,0,1,0,1,2
,20,League,Lands,cactusman22,W,W,,2-0,2,0,1,0,2,2
2/11,21,League,ANT,Kuranari-Jackpa,W,W,,2-0,2,0,1,0,0,0
,22,League,Breach,Aamog,W,W,,2-0,2,0,1,0,1,0
,23,League,UR Delver,Bozo_0388,W,L,W,2-1,2,1,1,0,2,0
,24,League,UG Omni,IHaveTopTop,W,W,,2-0,2,0,1,0,3,0
,25,League,Breach,The Atog Lord,L,W,L,1-2,1,2,0,1,4,0
2/13,36,League,UG Omni,JoeyBads,W,L,W,2-1,2,1,1,0,0,0
,37,League,Breach,Bullseyebud,W,L,W,2-1,2,1,1,0,1,0
,38,League,Steel Stompy,seasonofmists,L,L,,0-2,0,2,0,1,2,0
,39,League,UR Delver,Stuuch,W,W,,2-0,2,0,1,0,2,1
,40,League,BUG Snow,solnox,L,W,W,2-1,2,1,1,0,3,1
2/9,48,League,4c Miracles,noa0325,W,W,,2-0,2,0,1,0,0,0
,49,League,Mono R Stompy,wvusoccer,W,W,,2-0,2,0,1,0,1,0
,50,League,BR Reanimator,tousong,W,W,,2-0,2,0,1,0,2,0
,51,League,BUG Snow,Amiracle,W,W,,2-0,2,0,1,0,3,0
,52,League,UR Delver,learntolove6,L,L,,0-2,0,2,0,1,4,0
2/9,53,League,Infect,sylwesterstruzyna,L,W,W,2-1,2,1,1,0,0,0
,54,League,BR Reanimator,infozerg,L,L,,0-2,0,2,0,1,1,0
,55,League,4c Miracles,FZA,W,W,,2-0,2,0,1,0,1,1
,56,League,BR Reanimator,EmErgy,W,L,W,2-1,2,1,1,0,2,1
,57,League,Maverick,naosukesamurai,W,W,,2-0,2,0,1,0,3,1
???,1,League,Mono B Reanimator,Sidao2020,W,W,,2-0,2,0,1,0,0,0
,2,League,Goblins,Memories_of_the_Time,W,W,,2-0,2,0,1,0,1,0
,3,League,4c Loam,sirjorn,L,W,W,2-1,2,1,1,0,2,0
,4,League,4c Miracles,Deathrite1221,W,W,,2-0,2,0,1,0,3,0
,5,League,UWR Delver,HmNicklas,W,L,L,1-2,1,2,0,1,4,0
???,6,League,Merfolk,tuxdev,L,W,W,2-1,2,1,1,0,0,0
,7,League,Elves,Kamahl-88,W,W,,2-0,2,0,1,0,1,0
