date,t_name,w,l,deck,player,source
2020-01-24,Legacy Preliminary #12076802,5,0,Breach,MentalMisstep,https://www.mtggoldfish.com/tournament/30049
2020-01-24,Legacy Preliminary #12076802,4,1,Brainstorm,ht991122,https://www.mtggoldfish.com/tournament/30049
2020-01-24,Legacy Preliminary #12076802,4,1,Delver,CharLy,https://www.mtggoldfish.com/tournament/30049
2020-01-24,Legacy Preliminary #12076802,3,2,Chalice,s063,https://www.mtggoldfish.com/tournament/30049
2020-01-24,Legacy Preliminary #12076802,3,2,Other,helvetti,https://www.mtggoldfish.com/tournament/30049
2020-01-24,Legacy Preliminary #12076802,3,2,Brainstorm,ProTourFreddie,https://www.mtggoldfish.com/tournament/30049
2020-01-24,Legacy Preliminary #12076802,3,2,Delver,Bozo_0388,https://www.mtggoldfish.com/tournament/30049
2020-01-24,Legacy Preliminary #12076802,3,2,Delver,Theo_Jung,https://www.mtggoldfish.com/tournament/30049
2020-01-24,Legacy Preliminary #12076802,3,2,Delver,joker10289,https://www.mtggoldfish.com/tournament/30049
2020-01-26,Legacy Challenge #12076817,6,0,Chalice,Ozymandias17,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,6,0,Other,Ark4n,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,6,0,Breach,AnziD,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,6,0,Breach,MentalMisstep,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,6,0,Other,alli,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,6,0,Delver,SknerusMcKwacz,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,5,1,Vial,xJCloud,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,5,1,Breach,Ultimar,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,5,1,Chalice,Orim67,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,5,1,Other,EronRelentless,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,5,1,Other,Delthar,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,5,1,Brainstorm,JPA93,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,5,1,Brainstorm,Reeplcheep,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,5,1,Delver,Lord_Beerus,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,5,1,Brainstorm,Bryant_Cook,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,5,1,Other,Duplicatore,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,5,1,Delver,TheStyle,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,4,2,Chalice,LeMasters,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,4,2,Other,Bayesta_93,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,4,2,Vial,malimujo,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,4,2,Brainstorm,Ramp,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,4,2,Other,Schiaveto,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,4,2,Brainstorm,jtl005,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,4,2,Chalice,shadow_PT,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,4,2,Brainstorm,sora1248,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,4,2,Chalice,jankyb,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,4,2,Vial,danielnunes,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,4,2,Delver,littledarwin,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,4,2,Brainstorm,-jax-,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,4,2,Delver,Gre3n1T,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,4,2,Delver,ManamanVanTurk,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,4,2,Delver,Theo_Jung,https://www.mtggoldfish.com/tournament/30062
2020-01-28,Legacy Preliminary #12076837,5,0,Delver,zachattack23,https://www.mtggoldfish.com/tournament/30079
2020-01-28,Legacy Preliminary #12076837,4,1,Chalice,yamakiller,https://www.mtggoldfish.com/tournament/30079
2020-01-28,Legacy Preliminary #12076837,4,1,Brainstorm,3lik4r,https://www.mtggoldfish.com/tournament/30079
2020-01-28,Legacy Preliminary #12076837,4,1,Brainstorm,VedX,https://www.mtggoldfish.com/tournament/30079
2020-01-28,Legacy Preliminary #12076837,4,1,Chalice,leeties,https://www.mtggoldfish.com/tournament/30079
2020-01-28,Legacy Preliminary #12076837,3,2,Snow,leclairandy,https://www.mtggoldfish.com/tournament/30079
