source,w,l,Opposing Deck
Bryant Cook,0,0,UR Delver
Bryant Cook,1,0,RUG Delver
Bryant Cook,1,1,Grixis Delver
Bryant Cook,2,1,4C Loam
Bryant Cook,2,2,Death and Taxes
Bryant Cook,0,0,Death and Taxes
Bryant Cook,1,0,Echo Storm
Bryant Cook,2,0,Selesnya Depths
Bryant Cook,3,0,Elves
Bryant Cook,4,0,RUG Delver
Bryant Cook,0,0,Landstill: Ux
Bryant Cook,0,1,UR Delver
Bryant Cook,1,1,Enchantress
Bryant Cook,1,2,BUG Control
Bryant Cook,0,0,UR Delver
Bryant Cook,0,1,Breach
Bryant Cook,1,1,Control: 4c
Bryant Cook,2,1,Echo Storm
Bryant Cook,2,2,Omni-Tell
Bryant Cook,0,0,Goblins
Bryant Cook,0,1,Miracles
Bryant Cook,0,0,Cloudpost
Bryant Cook,0,1,Miracles
Bryant Cook,1,1,Enchantress
Bryant Cook,2,1,Sneak and Show
Bryant Cook,2,2,UR Delver
Bryant Cook,0,0,Humans
Bryant Cook,0,1,Breach
Bryant Cook,0,0,Breach
Bryant Cook,0,1,TES
Bryant Cook,1,1,Miracles
Bryant Cook,2,1,BUG Delver
Bryant Cook,3,1,Control: 4c
Bryant Cook,0,0,Death and Taxes
Bryant Cook,1,0,Rogue
Bryant Cook,2,0,Rogue
Bryant Cook,2,1,Manaless Dredge
Bryant Cook,3,1,Hogaak
Bryant Cook,0,0,Lands
Bryant Cook,1,0,UR Delver
Bryant Cook,2,0,Death and Taxes
Bryant Cook,2,1,Death's Shadow
Bryant Cook,2,2,BUG Delver
Bryant Cook,0,0,BUG: Leovold
Bryant Cook,1,0,UR Delver
Bryant Cook,1,1,Breach
Bryant Cook,2,1,Rogue
Bryant Cook,2,2,Rogue
Bryant Cook,0,0,Rogue
Bryant Cook,1,0,Lands
Bryant Cook,2,0,Miracles
Bryant Cook,3,0,Breach
Bryant Cook,3,1,Grixis Delver
Bryant Cook,0,0,Omni-Tell
Bryant Cook,0,1,Rogue
Bryant Cook,0,0,TES
Bryant Cook,1,0,4C Loam
Bryant Cook,2,0,Control: Grixis
Bryant Cook,3,0,4C Loam
Bryant Cook,4,0,UR Delver
Bryant Cook,0,1,Control: 4c
Bryant Cook,0,2,Selesnya Depths
Bryant Cook,0,0,Eldrazi Post
Bryant Cook,1,0,Grixis Delver
Bryant Cook,2,0,Esper Stoneblade
Bryant Cook,2,1,Pox
Bryant Cook,3,1,Rogue
Bryant Cook,0,0,Rogue
Bryant Cook,0,1,BUG: Leovold
Bryant Cook,0,0,UW Stoneblade
Bryant Cook,1,0,Eldrazi Post
Bryant Cook,1,1,Control: 4c
Bryant Cook,1,2,Jund
Bryant Cook,2,2,RUG Delver
Bryant Cook,0,0,Grixis Delver
Bryant Cook,1,0,Grixis Delver
Bryant Cook,2,0,Death and Taxes
Bryant Cook,3,0,Dredge
Bryant Cook,4,0,Rogue
Bryant Cook,0,0,Mono-Red Stompy
Bryant Cook,0,1,Death and Taxes
Bryant Cook,1,1,Goblins
Bryant Cook,2,1,Goblins
Bryant Cook,3,1,Breach
Bryant Cook,0,0,BUG Control
Bryant Cook,0,1,Steel Stompy
Bryant Cook,0,0,Rogue
Bryant Cook,1,0,Mono-Red Stompy
Bryant Cook,2,0,Miracles
Bryant Cook,3,0,Miracles
Bryant Cook,4,0,Breach
Bryant Cook,0,0,Death and Taxes
Bryant Cook,1,0,UR Delver
Bryant Cook,1,1,UR Delver
Bryant Cook,1,2,Death and Taxes
Bryant Cook,2,2,Rogue
Bryant Cook,0,0,Lands
Bryant Cook,1,0,Sneak and Show
Bryant Cook,1,1,UR Delver
Bryant Cook,2,1,Rogue
Bryant Cook,2,2,Control: 4c
Bryant Cook,0,0,Mono-Red Stompy
Bryant Cook,0,1,Goblins
Bryant Cook,0,0,4C Loam
Bryant Cook,1,0,Grixis Delver
Bryant Cook,2,0,Breach
Bryant Cook,2,1,Burn
Bryant Cook,3,1,Grixis Delver
Bryant Cook,0,0,Rogue
Bryant Cook,0,1,Rogue
Bryant Cook,0,0,TES
Bryant Cook,1,0,Elves
Bryant Cook,1,1,Infect
Bryant Cook,2,1,Golgari Depths
Bryant Cook,3,1,BUG Control
Bryant Cook,0,0,TES
Bryant Cook,1,0,Sneak and Show
Bryant Cook,2,0,Control: RUG
Bryant Cook,2,1,Rogue
Bryant Cook,2,2,Reanimator
Bryant Cook,0,0,4C Loam
Bryant Cook,1,0,Elves
Bryant Cook,2,0,Control: 4c
Bryant Cook,3,0,BUG Delver
Bryant Cook,3,1,Esper Mentor
Bryant Cook,0,0,Miracles
Bryant Cook,1,0,Death and Taxes
Bryant Cook,2,0,ANT
Bryant Cook,3,0,Breach
Bryant Cook,3,1,Breach
Anuraag Das,0,0,Pox
Anuraag Das,1,0,Burn
Anuraag Das,2,0,Elves
Anuraag Das,3,0,UR Delver
Anuraag Das,3,1,BR Reanimator
Anuraag Das,0,0,BUG Delver
Anuraag Das,1,0,Ninjas
Anuraag Das,2,0,High Tide
Anuraag Das,3,0,RUG Delver
Anuraag Das,3,1,Sneak & Show
Anuraag Das,0,0,4c Miracles
Anuraag Das,1,0,TES
Anuraag Das,2,0,Elves
Anuraag Das,3,0,Grixis Delver
Anuraag Das,4,0,UR Delver
Anuraag Das,0,0,Humans
Anuraag Das,1,0,BUG Delver
Anuraag Das,1,1,Breach
Anuraag Das,1,2,UR Delver
Anuraag Das,2,2,Lands
Anuraag Das,0,0,ANT
Anuraag Das,1,0,Breach
Anuraag Das,2,0,UR Delver
Anuraag Das,3,0,UG Omni
Anuraag Das,4,0,Breach
Anuraag Das,0,0,UG Omni
Anuraag Das,1,0,Breach
Anuraag Das,2,0,Steel Stompy
Anuraag Das,2,1,UR Delver
Anuraag Das,3,1,BUG Snow
Anuraag Das,0,0,4c Miracles
Anuraag Das,1,0,Mono R Stompy
Anuraag Das,2,0,BR Reanimator
Anuraag Das,3,0,BUG Snow
Anuraag Das,4,0,UR Delver
Anuraag Das,0,0,Infect
Anuraag Das,1,0,BR Reanimator
Anuraag Das,1,1,4c Miracles
Anuraag Das,2,1,BR Reanimator
Anuraag Das,3,1,Maverick
Anuraag Das,0,0,Mono B Reanimator
Anuraag Das,1,0,Goblins
Anuraag Das,2,0,4c Loam
Anuraag Das,3,0,4c Miracles
Anuraag Das,4,0,UWR Delver
Anuraag Das,0,0,Merfolk
Anuraag Das,1,0,Elves
Anuraag Das,2,0,4c Miracles
Anuraag Das,3,0,Eldrazi Stompy
Anuraag Das,4,0,4c Miracles
Anuraag Das,0,0,Eldrazi Stompy
Anuraag Das,1,0,5c Pile
Anuraag Das,2,0,Elves
Anuraag Das,3,0,Infect
Anuraag Das,4,0,Cloudpost
Anuraag Das,0,0,UR Delver
Anuraag Das,1,0,Death & Taxes
Anuraag Das,2,0,BUG Stompy
Anuraag Das,3,0,Sneak & Show
Anuraag Das,4,0,Stryfo Pile
Anuraag Das,0,0,Breach
Anuraag Das,1,0,5c Czech
Anuraag Das,2,0,Breach
Anuraag Das,3,0,Burn
Anuraag Das,4,0,Breach
Anuraag Das,0,0,TES
Anuraag Das,1,0,4c Black
Anuraag Das,2,0,BUG Zenith
Anuraag Das,3,0,Eldrazi Stompy
Anuraag Das,4,0,Breach
Anuraag Das,0,0,Grixis Delver
Anuraag Das,1,0,4c Miracles
Anuraag Das,2,0,Stax
Anuraag Das,2,1,Jund
Anuraag Das,2,2,Amulet
Anuraag Das,0,0,Death & Taxes
Anuraag Das,1,0,Mono R Stompy
Anuraag Das,2,0,Bug Zenith
Anuraag Das,2,1,Elves
Anuraag Das,3,1,Hogaak
Anuraag Das,0,0,Burn
Anuraag Das,1,0,Lands
Anuraag Das,2,0,Oops
Anuraag Das,3,0,Lands
Anuraag Das,4,0,UR Delver
Anuraag Das,0,0,Death & Taxes
Anuraag Das,1,0,Breach
Anuraag Das,2,0,Breach
Anuraag Das,3,0,Esper Vial
Anuraag Das,4,0,UR Delver
Anuraag Das,0,0,Breach Stompy
Anuraag Das,1,0,4c Miracles
Anuraag Das,2,0,RUG Delver
Anuraag Das,3,0,4c Black
Anuraag Das,4,0,Steel Stompy
Anuraag Das,0,0,Infect
Anuraag Das,0,1,UG Omni
Anuraag Das,1,1,UR Delver
Anuraag Das,1,2,Grixis Delver
Anuraag Das,1,3,BUG Delver
Anuraag Das,0,0,Breach
Anuraag Das,1,0,Sneak & Show
Anuraag Das,2,0,Dredge
Anuraag Das,3,0,Lands
Anuraag Das,3,1,UG Omni
Anuraag Das,0,0,Breach Stompy
Anuraag Das,1,0,Oops
Anuraag Das,2,0,GW Depths
Anuraag Das,3,0,Sneak & Show
Anuraag Das,4,0,Eldrazi Stompy
Anuraag Das,0,0,UG Omni
Anuraag Das,1,0,TES
Anuraag Das,2,0,BR Reanimator
Anuraag Das,3,0,Painter
Anuraag Das,4,0,Eldrazi Post
Anuraag Das,0,0,UR Delver
Anuraag Das,1,0,Aluren
Anuraag Das,2,0,Sneak & Show
Anuraag Das,3,0,UR Delver
Anuraag Das,4,0,Elves
Bryant Cook,0,0,Elves
Bryant Cook,0,1,Reanimator: BR
Bryant Cook,0,2,Rogue
Bryant Cook,1,2,Delver: BUG
Bryant Cook,2,2,Control: 4c
Bryant Cook,0,0,Dredge: Mana
Bryant Cook,1,0,Control: RUG
Bryant Cook,2,0,Bomberman
Bryant Cook,3,0,Control: 4c
