archetype,opp_archetype,w,l,d,matches,matches_wl,p_win,p_lose,p_draw,p_win_nodraw,p_lose_nodraw
12-Post,12-Post,1,1,0,2,2,0.5,0.5,0.0,0.5,0.5
12-Post,4C Astrolabe,2,0,0,2,2,1.0,0.0,0.0,1.0,1.0
12-Post,Ad Nauseam Tendrils,3,4,0,7,7,0.42857142857142855,0.5714285714285714,0.0,0.42857142857142855,0.42857142857142855
12-Post,Aluren,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
12-Post,BUG Control,0,1,1,2,1,0.0,0.5,0.5,0.0,0.0
12-Post,BUG Delver,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
12-Post,BUG Snowko,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
12-Post,Bant Control,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
12-Post,Bant Loam,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
12-Post,Bant Miracles,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
12-Post,Bomberman,1,2,0,3,3,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333
12-Post,Burn,2,2,0,4,4,0.5,0.5,0.0,0.5,0.5
12-Post,Death and Taxes,3,1,0,4,4,0.75,0.25,0.0,0.75,0.75
12-Post,Dredge,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
12-Post,Eldrazi Stompy,2,0,0,2,2,1.0,0.0,0.0,1.0,1.0
12-Post,Elves,1,1,0,2,2,0.5,0.5,0.0,0.5,0.5
12-Post,Food Chain,1,1,0,2,2,0.5,0.5,0.0,0.5,0.5
12-Post,Golgari Depths,1,5,0,6,6,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.16666666666666666
12-Post,Grixis Control,2,0,0,2,2,1.0,0.0,0.0,1.0,1.0
12-Post,Grixis Delver,2,2,0,4,4,0.5,0.5,0.0,0.5,0.5
12-Post,Hogaak,4,2,0,6,6,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666
12-Post,Humans,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
12-Post,Infect,1,3,0,4,4,0.25,0.75,0.0,0.25,0.25
12-Post,Jeskai Mentor,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
12-Post,Jund,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
12-Post,Lands,1,3,0,4,4,0.25,0.75,0.0,0.25,0.25
12-Post,Manaless Dredge,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
12-Post,Maverick,3,0,0,3,3,1.0,0.0,0.0,1.0,1.0
12-Post,Nic Fit,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
12-Post,Omni-Tell,0,2,0,2,2,0.0,1.0,0.0,0.0,0.0
12-Post,Other,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
12-Post,Painter,2,0,0,2,2,1.0,0.0,0.0,1.0,1.0
12-Post,RUG Delver,2,1,0,3,3,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666
12-Post,Reanimator Depths,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
12-Post,Sneak and Show,1,2,0,3,3,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333
12-Post,Splinter Twin,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
12-Post,Turbo Depths,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
12-Post,U/B Reanimator,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
12-Post,U/G Eldrazi,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
12-Post,UR Delver,3,2,0,5,5,0.6,0.4,0.0,0.6,0.6
12-Post,UW Stoneblade,3,0,0,3,3,1.0,0.0,0.0,1.0,1.0
12-Post,Unknown,2,0,0,2,2,1.0,0.0,0.0,1.0,1.0
12-Post,Urza ThopterSword,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
