date,t_name,w,l,deck,player,source
2020-01-24,Legacy Preliminary #12076802,5,0,Breach,MentalMisstep,https://www.mtggoldfish.com/tournament/30049
2020-01-24,Legacy Preliminary #12076802,4,1,Ad Nauseam Tendrils,ht991122,https://www.mtggoldfish.com/tournament/30049
2020-01-24,Legacy Preliminary #12076802,4,1,UR Delver,CharLy,https://www.mtggoldfish.com/tournament/30049
2020-01-24,Legacy Preliminary #12076802,3,2,4C Loam,s063,https://www.mtggoldfish.com/tournament/30049
2020-01-24,Legacy Preliminary #12076802,3,2,Maverick,helvetti,https://www.mtggoldfish.com/tournament/30049
2020-01-24,Legacy Preliminary #12076802,3,2,Sneak and Show,ProTourFreddie,https://www.mtggoldfish.com/tournament/30049
2020-01-24,Legacy Preliminary #12076802,3,2,UR Delver,Bozo_0388,https://www.mtggoldfish.com/tournament/30049
2020-01-24,Legacy Preliminary #12076802,3,2,UR Delver,Theo_Jung,https://www.mtggoldfish.com/tournament/30049
2020-01-24,Legacy Preliminary #12076802,3,2,UR Delver,joker10289,https://www.mtggoldfish.com/tournament/30049
2020-01-26,Legacy Challenge #12076817,6,0,4C Loam,Ozymandias17,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,6,0,Dredge,Ark4n,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,6,0,Breach,AnziD,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,6,0,Breach,MentalMisstep,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,6,0,Lands,alli,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,6,0,UR Delver,SknerusMcKwacz,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,5,1,Death and Taxes,xJCloud,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,5,1,Breach,Ultimar,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,5,1,Mono-Red Prison,Orim67,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,5,1,Reanimator,EronRelentless,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,5,1,Simic Titan,Delthar,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,5,1,Sneak and Show,JPA93,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,5,1,Snow Food,Reeplcheep,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,5,1,BUG Delver,Lord_Beerus,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,5,1,TES,Bryant_Cook,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,5,1,Turbo Depths,Duplicatore,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,5,1,UR Delver,TheStyle,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,4,2,Artifact Echo,LeMasters,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,4,2,Death's Shadow,Ramp,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,4,2,Belcher,Bayesta_93,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,4,2,Death and Taxes,malimujo,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,4,2,Elves,Schiaveto,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,4,2,Esper Hatebears,jtl005,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,4,2,Mono-Red Prison,shadow_PT,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,4,2,Ninjas,sora1248,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,4,2,Oko Chalice Midrange,jankyb,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,4,2,Slivers,danielnunes,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,4,2,BUG Delver,littledarwin,https://www.mtggoldfish.com/tournament/30062
2020-01-26,Legacy Challenge #12076817,4,2,U/B Reanimator,-jax-,https://www.mtggoldfish.com/tournament/30062
