Date,Type,Event,DV,w,l,Opposing Deck,M-Results,M-Result
01/24/2020,Modo,League,v0.0,,,Grixis Delver,2-1,W
01/24/2020,Modo,League,v0.0,,,BUG Delver,0-2,L
01/24/2020,Modo,League,v0.0,,,Miracles,2-0,W
01/24/2020,Modo,League,v0.0,,,4c Delver,0-2,L
01/24/2020,Modo,League,v0.0,,,Miracles,2-0,W
01/24/2020,Modo,League,v0.0,,,Breach,L
01/24/2020,Modo,League,v0.0,,,4c Delver,1-2,L
01/24/2020,Modo,League,v0.0,,,Eldrazi Stompy,0-2,L
01/24/2020,Modo,League,v0.0,,,Infect,0-2,L
01/24/2020,Modo,League,v0.0,,,Omni-Tell,1-2,L
01/24/2020,Modo,League,v0.0,,,BUG Delver,1-2,L
01/24/2020,Modo,League,v8.8,0,0,UR Delver,2-0,W
01/24/2020,Modo,League,v8.8,1,0,RUG Delver,0-2,L
01/24/2020,Modo,League,v8.8,1,1,Grixis Delver,2-1,W
01/24/2020,Modo,League,v8.8,2,1,4C Loam,1-2,L
01/24/2020,Modo,League,v8.8,2,2,Death and Taxes,1-2,L
01/24/2020,Modo,League,v8.8,0,0,Death and Taxes,2-1,W
01/24/2020,Modo,League,v8.8,1,0,Echo Storm,2-1,W
01/24/2020,Modo,League,v8.8,2,0,Selesnya Depths,2-0,W
01/24/2020,Modo,League,v8.8,3,0,Elves,2-0,W
01/24/2020,Modo,League,v8.8,4,0,RUG Delver,2-0,W
01/24/2020,Modo,League,v8.8,0,0,Landstill: Ux,0-2,L
01/24/2020,Modo,League,v8.8,0,1,UR Delver,2-0,W
01/24/2020,Modo,League,v8.8,1,1,Enchantress,1-2,L
01/24/2020,Modo,League,v8.8,1,2,BUG Control,1-2,L
01/25/2020,Modo,League,v8.8,,,Control: 4c,2-1,W
01/25/2020,Modo,League,v8.8,,,UR Delver,0-2,L
01/25/2020,Modo,League,v8.8,,,Reanimator,2-1,W
01/25/2020,Modo,League,v8.8,,,Steel Stompy,1-2,L
01/25/2020,Modo,League,v8.8,,,4C Loam,1-2,L
